Browser,Event,Object Parameters,Chart,Status
Chrome,rendered,"('eventType = ', u'rendered')",scatter,PASS
Chrome,rendered,"('eventId = ', 286)",scatter,PASS
Chrome,rendered,"('cancelled = ', False)",scatter,PASS
Chrome,rendered,"('stopPropagation = ', {})",scatter,PASS
Chrome,rendered,"('defaultPrevented = ', False)",scatter,PASS
Chrome,rendered,"('preventDefault = ', {})",scatter,PASS
Chrome,rendered,"('detached = ', False)",scatter,PASS
Chrome,rendered,"('detachHandler = ', {})",scatter,PASS
Chrome,rendered,"('senderChartType = ', u'scatter')",scatter,PASS
Chrome,rendered,"('dObj1 = ', u'javascript')",scatter,PASS
Chrome,ready,"('eventType = ', u'ready')",scatter,PASS
Chrome,ready,"('eventId = ', 93)",scatter,PASS
Chrome,ready,"('cancelled = ', False)",scatter,PASS
Chrome,ready,"('stopPropagation = ', {})",scatter,PASS
Chrome,ready,"('defaultPrevented = ', False)",scatter,PASS
Chrome,ready,"('preventDefault = ', {})",scatter,PASS
Chrome,ready,"('detached = ', False)",scatter,PASS
Chrome,ready,"('detachHandler = ', {})",scatter,PASS
Chrome,ready,"('senderChartType = ', u'FroalaCharts')",scatter,PASS
Chrome,ready,"('dObj1 = ', True)",scatter,PASS
Chrome,beforeinitialize,"('eventType = ', u'beforeinitialize')",scatter,PASS
Chrome,beforeinitialize,"('eventId = ', 94)",scatter,PASS
Chrome,beforeinitialize,"('cancelled = ', False)",scatter,PASS
Chrome,beforeinitialize,"('stopPropagation = ', {})",scatter,PASS
Chrome,beforeinitialize,"('defaultPrevented = ', False)",scatter,PASS
Chrome,beforeinitialize,"('preventDefault = ', {})",scatter,PASS
Chrome,beforeinitialize,"('detached = ', False)",scatter,PASS
Chrome,beforeinitialize,"('detachHandler = ', {})",scatter,PASS
Chrome,beforeinitialize,"('senderChartType = ', u'scatter')",scatter,PASS
Chrome,beforeinitialize,"('dataFormat = ', u'JSON')",scatter,PASS
Chrome,beforeinitialize,"('dataSource = ', u'{""chart"":{""caption"":""Sales of Ice creams at Broadway Store"",""subcaption"":""Sales vs. Avg. Temperature<br>Los Angeles Topanga"",""xaxisname"":""Avg. Temperature"",""yaxisname"":""Sales (In USD)"",""xaxisminvalue"":""20"",""xaxismaxvalue"":""100"",""ynumberprefix"":""$"",""yaxisminvalue"":""1200"",""xnumbersuffix"":""\xb0F"",""theme"":""fusion"",""showlegend"":""0"",""plottooltext"":""<b>$yDataValue</b> worth <b>$seriesNames</b> were sold,<br>when temperature was <b>$xDataValue</b>""},""categories"":[{""verticallinedashed"":""1"",""verticallinedashlen"":""1"",""verticallinedashgap"":""1"",""verticallinethickness"":""1"",""verticallinecolor"":""#000000"",""category"":[{""x"":""20"",""label"":""20\xb0F"",""showverticalline"":""0""},{""x"":""40"",""label"":""40\xb0F""},{""x"":""60"",""label"":""60\xb0F""},{""x"":""80"",""label"":""80\xb0F""},{""x"":""100"",""label"":""100\xb0F""}]}],""dataset"":[{""seriesname"":""Ice Cream"",""anchorbgcolor"":""5D62B5"",""data"":[{""x"":""21"",""y"":""1450""},{""x"":""22"",""y"":""1490""},{""x"":""23"",""y"":""1560""},{""x"":""24"",""y"":""1500""},{""x"":""24"",""y"":""1680""},{""x"":""25"",""y"":""1780""},{""x"":""25"",""y"":""1620""},{""x"":""26"",""y"":""1810""},{""x"":""27"",""y"":""2310""},{""x"":""29"",""y"":""2620""},{""x"":""31"",""y"":""2500""},{""x"":""32"",""y"":""2410""},{""x"":""33"",""y"":""2530""},{""x"":""34"",""y"":""3280""},{""x"":""35"",""y"":""2880""},{""x"":""36"",""y"":""3910""},{""x"":""34"",""y"":""3960""},{""x"":""38"",""y"":""4080""},{""x"":""37"",""y"":""3880""},{""x"":""39"",""y"":""3910""},{""x"":""39"",""y"":""4210""},{""x"":""40"",""y"":""4190""},{""x"":""41"",""y"":""4170""},{""x"":""42"",""y"":""4280""},{""x"":""43"",""y"":""4350""},{""x"":""44"",""y"":""4880""},{""x"":""45"",""y"":""4700""},{""x"":""47"",""y"":""5100""},{""x"":""48"",""y"":""5190""},{""x"":""48"",""y"":""5000""},{""x"":""49"",""y"":""5210""},{""x"":""50"",""y"":""5110""},{""x"":""50"",""y"":""5200""},{""x"":""52"",""y"":""5210""},{""x"":""53"",""y"":""5330""},{""x"":""54"",""y"":""5180""},{""x"":""53"",""y"":""5770""},{""x"":""55"",""y"":""5900""},{""x"":""56"",""y"":""5940""},{""x"":""58"",""y"":""6090""},{""x"":""61"",""y"":""6086""},{""x"":""62"",""y"":""6185""},{""x"":""63"",""y"":""6815""},{""x"":""62"",""y"":""6273""},{""x"":""64"",""y"":""6143""},{""x"":""65"",""y"":""6151""},{""x"":""67"",""y"":""6100""},{""x"":""68"",""y"":""6200""},{""x"":""70"",""y"":""6360""},{""x"":""71"",""y"":""6860""},{""x"":""71"",""y"":""6150""},{""x"":""72"",""y"":""6150""},{""x"":""73"",""y"":""6273""},{""x"":""74"",""y"":""6650""},{""x"":""74"",""y"":""6133""},{""x"":""75"",""y"":""6450""},{""x"":""79"",""y"":""6650""},{""x"":""80"",""y"":""6710""},{""x"":""79"",""y"":""6975""},{""x"":""82"",""y"":""7000""},{""x"":""85"",""y"":""7150""},{""x"":""86"",""y"":""7160""},{""x"":""86"",""y"":""7200""},{""x"":""88"",""y"":""7230""},{""x"":""87"",""y"":""7210""},{""x"":""86"",""y"":""7480""},{""x"":""89"",""y"":""7540""},{""x"":""89"",""y"":""7400""},{""x"":""90"",""y"":""7500""},{""x"":""92"",""y"":""7640""},{""x"":""90"",""y"":""7340""},{""x"":""94"",""y"":""7840""},{""x"":""95"",""y"":""7140""},{""x"":""95"",""y"":""7510""},{""x"":""96"",""y"":""6940""},{""x"":""97"",""y"":""7100""},{""x"":""98"",""y"":""7840""}]}]}')",scatter,PASS
Chrome,beforeinitialize,"('height = ', u'500')",scatter,PASS
Chrome,beforeinitialize,"('renderAt = ', u'chart-container')",scatter,PASS
Chrome,beforeinitialize,"('type = ', u'scatter')",scatter,PASS
Chrome,beforeinitialize,"('width = ', u'800')",scatter,PASS
Chrome,beforerender,"('eventType = ', u'beforerender')",scatter,PASS
Chrome,beforerender,"('eventId = ', 103)",scatter,PASS
Chrome,beforerender,"('cancelled = ', False)",scatter,PASS
Chrome,beforerender,"('stopPropagation = ', {})",scatter,PASS
Chrome,beforerender,"('defaultPrevented = ', False)",scatter,PASS
Chrome,beforerender,"('preventDefault = ', {})",scatter,PASS
Chrome,beforerender,"('detached = ', False)",scatter,PASS
Chrome,beforerender,"('detachHandler = ', {})",scatter,PASS
Chrome,beforerender,"('senderChartType = ', u'scatter')",scatter,PASS
Chrome,beforerender,"('Container = ', u'chart-container')",scatter,PASS
Chrome,beforerender,"('height = ', u'500')",scatter,PASS
Chrome,beforerender,"('rendered = ', u'javascript')",scatter,PASS
Chrome,beforerender,"('width = ', u'800')",scatter,PASS
Chrome,rendercomplete,"('eventType = ', u'rendercomplete')",scatter,PASS
Chrome,rendercomplete,"('eventId = ', 287)",scatter,PASS
Chrome,rendercomplete,"('cancelled = ', False)",scatter,PASS
Chrome,rendercomplete,"('stopPropagation = ', {})",scatter,PASS
Chrome,rendercomplete,"('defaultPrevented = ', False)",scatter,PASS
Chrome,rendercomplete,"('preventDefault = ', {})",scatter,PASS
Chrome,rendercomplete,"('detached = ', False)",scatter,PASS
Chrome,rendercomplete,"('detachHandler = ', {})",scatter,PASS
Chrome,rendercomplete,"('senderChartType = ', u'scatter')",scatter,PASS
Chrome,rendercomplete,"('Container = ', 1)",scatter,PASS
Chrome,rendercomplete,"('height = ', 500)",scatter,PASS
Chrome,rendercomplete,"('rendered = ', u'javascript')",scatter,PASS
Chrome,rendercomplete,"('width = ', 800)",scatter,PASS
Chrome,loaded,"('eventType = ', u'loaded')",scatter,PASS
Chrome,loaded,"('eventId = ', 96)",scatter,PASS
Chrome,loaded,"('cancelled = ', False)",scatter,PASS
Chrome,loaded,"('stopPropagation = ', {})",scatter,PASS
Chrome,loaded,"('defaultPrevented = ', False)",scatter,PASS
Chrome,loaded,"('preventDefault = ', {})",scatter,PASS
Chrome,loaded,"('detached = ', False)",scatter,PASS
Chrome,loaded,"('detachHandler = ', {})",scatter,PASS
Chrome,loaded,"('senderChartType = ', u'scatter')",scatter,PASS
Chrome,loaded,"('renderer = ', u'javascript')",scatter,PASS
Chrome,loaded,"('type = ', u'scatter')",scatter,PASS
Chrome,initialized,"('eventType = ', u'initialized')",scatter,PASS
Chrome,initialized,"('eventId = ', 100)",scatter,PASS
Chrome,initialized,"('cancelled = ', False)",scatter,PASS
Chrome,initialized,"('stopPropagation = ', {})",scatter,PASS
Chrome,initialized,"('defaultPrevented = ', False)",scatter,PASS
Chrome,initialized,"('preventDefault = ', {})",scatter,PASS
Chrome,initialized,"('detached = ', False)",scatter,PASS
Chrome,initialized,"('detachHandler = ', {})",scatter,PASS
Chrome,initialized,"('senderChartType = ', u'scatter')",scatter,PASS
Chrome,initialized,"('dataFormat = ', u'JSON')",scatter,PASS
